sample,threshold,guides_at_or_above,percent_at_or_above
A,1,57027,99.9596844872918
A,10,57017,99.9421560035057
A,100,56497,99.0306748466258
A,300,53585,93.9263803680982
B,1,57009,99.996491905071
B,10,56983,99.9508866709933
B,100,56076,98.3599656206697
B,300,52316,91.764747154058
