sample,total_r1_reads,exact_mapped_reads,exact_mapping_percent,valid_20nt_percent,unique_one_mismatch_percent,reference_guides,non_targeting_guides,mean_exact_reads_per_guide,median_exact_reads_per_guide,minimum_exact_reads,maximum_exact_reads,zero_guides,zero_guides_percent,below_0.1x_median_guides,below_0.1x_median_percent,q90_q10_ratio,coefficient_of_variation,gini_raw_counts,gini_log2_counts,runtime_minutes
A,107224370,85421253,79.6658940500187,90.9703521690079,5.8302930574458,57050,496,1497.3050482033,1344.5,0,8565,23,0.0403155127081507,905,1.5863277826468,6.74334140435835,0.630333624876835,0.346108447361275,0.0603229362029711,10.4967180808385
B,90677568,73608533,81.1761217504201,91.6117004814245,6.0272139191029,57011,496,1291.1286067601,1188,0,6244,2,0.00350809492904878,1221,2.14169195418428,6.8092485549133,0.613676337720823,0.340381908537025,0.0623251762409607,19.1999037981033
